,Unnamed: 0,DATE,NAME,PRCP,SNOW,SNWD,TMAX,TMIN,TAVG,AWND,State Name,county Name,State Code,County Code,AQI,Category
208,208,2024-10-20,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0,0,0,233,11,132.0,20.0,Maryland,Anne Arundel,24,3,44,Good
209,209,2024-10-21,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0,0,0,256,33,161.0,12.0,Maryland,Anne Arundel,24,3,61,Moderate
210,210,2024-10-22,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0,0,0,272,72,157.0,13.0,Maryland,Anne Arundel,24,3,51,Moderate
211,211,2024-10-23,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0,0,0,250,56,159.0,35.0,Maryland,Anne Arundel,24,3,49,Good
212,212,2024-10-24,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0,0,0,194,44,106.0,10.0,Maryland,Anne Arundel,24,3,34,Good
213,213,2024-10-25,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0,0,0,189,22,131.0,28.0,Maryland,Anne Arundel,24,3,31,Good
214,214,2024-10-26,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0,0,0,189,50,82.0,13.0,Maryland,Anne Arundel,24,3,37,Good
215,215,2024-10-27,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0,0,0,139,6,66.0,12.0,Maryland,Anne Arundel,24,3,31,Good
216,216,2024-10-28,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0,0,0,156,-5,91.0,11.0,Maryland,Anne Arundel,24,3,33,Good
217,217,2024-10-29,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0,0,0,183,11,140.0,12.0,Maryland,Anne Arundel,24,3,37,Good
218,218,2024-10-30,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0,0,0,256,50,184.0,30.0,Maryland,Anne Arundel,24,3,32,Good
219,219,2024-10-31,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0,0,0,267,100,216.0,50.0,Maryland,Anne Arundel,24,3,36,Good
